// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 1 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet  restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1/" /p:OutDir="D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1\bin\Release\net8.0/" /p:OutputPath="D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1\bin\Release\net8.0/" /p:PublishDir="D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1\publish/" in D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1
// command took 0.79 sec and exited with 0
// start dotnet  build -c Release --no-restore --nodeReuse:false /p:UseSharedCompilation=false /p:Deterministic=true /p:Optimize=true /p:ArtifactsPath="D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1/" /p:OutDir="D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1\bin\Release\net8.0/" /p:OutputPath="D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1\bin\Release\net8.0/" /p:PublishDir="D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1\publish/" --output "D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1\bin\Release\net8.0/" in D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1
// command took 3.43 sec and exited with 0
// ***** Done, took 00:00:04 (4.25 sec)   *****
// Found 1 benchmarks:
//   CheckPalindromeclass.CheckPalindrome: DefaultJob

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: CheckPalindromeclass.CheckPalindrome: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet Basics-DefaultJob-1.dll --anonymousPipes 1292 1312 --benchmarkName CheckPalindromeclass.CheckPalindrome --job Default --benchmarkId 0 in D:\MyRepo\GitRepo\Basics\Basics\bin\Release\net8.0\Basics-DefaultJob-1\bin\Release\net8.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.15.8
// Runtime=.NET 8.0.22 (8.0.22, 8.0.2225.52707), X64 RyuJIT x86-64-v3
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2+BMI1+BMI2+F16C+FMA+LZCNT+MOVBE,AVX,SSE3+SSSE3+SSE4.1+SSE4.2+POPCNT,X86Base+SSE+SSE2,AES+PCLMUL,AvxVnni,SERIALIZE VectorSize=256
// Job: DefaultJob

OverheadJitting  1: 1 op, 110500.00 ns, 110.5000 us/op
WorkloadJitting  1: 1 op, 166100.00 ns, 166.1000 us/op

OverheadJitting  2: 16 op, 273700.00 ns, 17.1063 us/op
WorkloadJitting  2: 16 op, 303200.00 ns, 18.9500 us/op

WorkloadPilot    1: 16 op, 700.00 ns, 43.7500 ns/op
WorkloadPilot    2: 32 op, 1200.00 ns, 37.5000 ns/op
WorkloadPilot    3: 64 op, 1800.00 ns, 28.1250 ns/op
WorkloadPilot    4: 128 op, 3500.00 ns, 27.3438 ns/op
WorkloadPilot    5: 256 op, 6800.00 ns, 26.5625 ns/op
WorkloadPilot    6: 512 op, 13500.00 ns, 26.3672 ns/op
WorkloadPilot    7: 1024 op, 26800.00 ns, 26.1719 ns/op
WorkloadPilot    8: 2048 op, 61800.00 ns, 30.1758 ns/op
WorkloadPilot    9: 4096 op, 103000.00 ns, 25.1465 ns/op
WorkloadPilot   10: 8192 op, 186500.00 ns, 22.7661 ns/op
WorkloadPilot   11: 16384 op, 274700.00 ns, 16.7664 ns/op
WorkloadPilot   12: 32768 op, 478000.00 ns, 14.5874 ns/op
WorkloadPilot   13: 65536 op, 867300.00 ns, 13.2339 ns/op
WorkloadPilot   14: 131072 op, 1669500.00 ns, 12.7373 ns/op
WorkloadPilot   15: 262144 op, 3411300.00 ns, 13.0131 ns/op
WorkloadPilot   16: 524288 op, 6668600.00 ns, 12.7193 ns/op
WorkloadPilot   17: 1048576 op, 13238300.00 ns, 12.6250 ns/op
WorkloadPilot   18: 2097152 op, 26639700.00 ns, 12.7028 ns/op
WorkloadPilot   19: 4194304 op, 53187900.00 ns, 12.6810 ns/op
WorkloadPilot   20: 8388608 op, 106509200.00 ns, 12.6969 ns/op
WorkloadPilot   21: 16777216 op, 58886700.00 ns, 3.5099 ns/op
WorkloadPilot   22: 33554432 op, 116993900.00 ns, 3.4867 ns/op
WorkloadPilot   23: 67108864 op, 235733800.00 ns, 3.5127 ns/op
WorkloadPilot   24: 134217728 op, 467928500.00 ns, 3.4863 ns/op
WorkloadPilot   25: 268435456 op, 948464200.00 ns, 3.5333 ns/op

OverheadWarmup   1: 268435456 op, 818495600.00 ns, 3.0491 ns/op
OverheadWarmup   2: 268435456 op, 778915800.00 ns, 2.9017 ns/op
OverheadWarmup   3: 268435456 op, 778181700.00 ns, 2.8990 ns/op
OverheadWarmup   4: 268435456 op, 771477900.00 ns, 2.8740 ns/op
OverheadWarmup   5: 268435456 op, 775185600.00 ns, 2.8878 ns/op
OverheadWarmup   6: 268435456 op, 770140900.00 ns, 2.8690 ns/op
OverheadWarmup   7: 268435456 op, 769430400.00 ns, 2.8664 ns/op
OverheadWarmup   8: 268435456 op, 771259100.00 ns, 2.8732 ns/op
OverheadWarmup   9: 268435456 op, 774340500.00 ns, 2.8846 ns/op
OverheadWarmup  10: 268435456 op, 774018200.00 ns, 2.8834 ns/op

OverheadActual   1: 268435456 op, 771286300.00 ns, 2.8733 ns/op
OverheadActual   2: 268435456 op, 770363900.00 ns, 2.8698 ns/op
OverheadActual   3: 268435456 op, 772978200.00 ns, 2.8796 ns/op
OverheadActual   4: 268435456 op, 774022300.00 ns, 2.8835 ns/op
